Performer,Artist_Popularity_x,Performer2,uri_x,Genre,url,WeekID,Week Position,Song_x,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Explicit,Artist_Popularity_y,Song_y,Duration ms,uri_y,Year
Perry Como,72.0,Perry Como,spotify:artist:5v8jlSmAQfrkTjAlpUfWtu,"['adult standards', 'easy listening']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,37,Moon Talk,Moon TalkPerry Como,1,,37,1,False,3.0,Mandolins In The Moonlight,164866.0,spotify:track:3XuWiQ11ih3fF4ICGTvKgb,1958
Dean Martin,78.0,Dean Martin,spotify:artist:49e4v89VmlDcFCMyDv9wQ9,"['adult standards', 'easy listening', 'lounge']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,68,Volare (Nel Blu Dipinto Di Blu),Volare (Nel Blu Dipinto Di Blu)Dean Martin,1,,68,1,False,29.0,In the Chapel in the Moonlight,152346.0,spotify:track:1RknXtekvGbn57eru2vXjd,1958
The Playmates,20.0,The Playmates,spotify:artist:1bpcq3dBWR6ykfx2Sod8Fy,['novelty'],http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,70,Don't Go Home,Don't Go HomeThe Playmates,1,,70,1,False,34.0,Beep Beep,150213.0,spotify:track:4kbV9t3FO8op15IrpQm5Mz,1958
Pat Boone,53.0,Pat Boone,spotify:artist:7fmKtIgmxqNEKjATioVNsu,"['adult standards', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'vocal jazz']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,39,That's How Much I Love You,That's How Much I Love YouPat Boone,1,,39,1,False,7.0,Johnny Will,145946.0,spotify:track:6F7dr44klyiVBzf2SM599j,1958
Sam Cooke,69.0,Sam Cooke,spotify:artist:6hnWRPzGGKiapVX1UCdEAC,"['adult standards', 'classic soul', 'rock-and-roll', 'soul']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,74,Win Your Love For Me,Win Your Love For MeSam Cooke,1,,74,1,False,32.0,Sugar Dumpling,136680.0,spotify:track:22lVNnkNGhMuC8MRPAF0YF,1958
Bobby Darin,64.0,Bobby Darin,spotify:artist:0EodhzA6yW1bIdD5B4tcmJ,"['adult standards', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'vocal jazz']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,3,Splish Splash,Splish SplashBobby Darin,1,,3,1,False,56.0,Dream Lover,150706.0,spotify:track:5XeUMqS6mpTEspPgd5TLtg,1958
Peggy Lee,64.0,Peggy Lee,spotify:artist:602DnpaSXJB4b9DZrvxbDc,"['adult standards', 'lounge', 'soul', 'swing', 'torch song', 'vocal jazz']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,10,Fever,FeverPeggy Lee,1,,10,1,False,62.0,Fever,199600.0,spotify:track:3aPlQWU07jGgyHaBHVS5TS,1958
The Everly Brothers,61.0,The Everly Brothers,spotify:artist:4ACplpEqD6JIVgKrafauzs,"['adult standards', 'bubblegum pop', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,92,Bird Dog,Bird DogThe Everly Brothers,1,,92,1,False,66.0,All I Have to Do Is Dream,143333.0,spotify:track:7dblNGnRXEBrVJunazs2U5,1958
The Platters,61.0,The Platters,spotify:artist:6KWcxMWVNVIYbdOQyJtsSy,"['adult standards', 'doo-wop', 'lounge', 'rock-and-roll', 'rockabilly']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,65,You're Making A Mistake,You're Making A MistakeThe Platters,1,,65,1,False,9.0,"Sweet, Sweet Lovin'",115586.0,spotify:track:0bcYOdXwV5McxEO7ICoh3S,1958
Fats Domino,57.0,Fats Domino,spotify:artist:09C0xjtosNAIXP36wTnWxd,"['adult standards', 'louisiana blues', 'new orleans blues', 'piano blues', 'rock-and-roll', 'rockabilly', 'soul']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,95,Little Mary,Little MaryFats Domino,1,,95,1,False,20.0,Shu Rah,104733.0,spotify:track:1E1ivNaCO40o7mjdWgUC3G,1958
Frankie Avalon,45.0,Frankie Avalon,spotify:artist:5zNOI87gG4RttFmYAZWaxQ,"['adult standards', 'bubblegum pop', 'deep adult standards', 'doo-wop', 'rock-and-roll', 'rockabilly']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,11,Ginger Bread,Ginger BreadFrankie Avalon,1,,11,1,False,2.0,The Puppet Song,138448.0,spotify:track:6RkvtUnLfSvHNlosDShSyL,1958
