	Performer	Artist_Popularity_x	Performer2	uri_x	Genre	Explicit	Artist_Popularity_y	Song	Duration s	uri_y	url	WeekID	Week Position	SongID	Instance	Previous Week Position	Peak Position	Weeks on Chart	Year
0	Incubus	69.0	Incubus	spotify:artist:3YcBF2ttyueytpXtEzn1Za	alternative metal	False	76.0	Drive	232.453	spotify:track:7nnWIPM5hwE3DaUBkvOIpy	http://www.billboard.com/charts/hot-100/2001-02-17	2001-02-17	75	DriveIncubus	1		75	1	2001
1	Kris Allen	44.0	Kris Allen	spotify:artist:2zwHaEmXxX6DTv4i8ajNCM	acoustic pop	False	54.0	Live Like We're Dying	212.506	spotify:track:1HfxPaJggVwFsvOtHbVzMz	http://www.billboard.com/charts/hot-100/2009-10-17	2009-10-17	89	Live Like We're DyingKris Allen	1		89	1	2009
2	The Swon Brothers	33.0	The Swon Brothers	spotify:artist:1nf0nRF0W4ybnJdda00pKY	contemporary country	False	33.0	Later On	217.16	spotify:track:7lG4154Md1Kw7BMg56Pt4s	http://www.billboard.com/charts/hot-100/2014-08-30	2014-08-30	100	Later OnThe Swon Brothers	1		100	1	2014
3	The Four Preps	30.0	The Four Preps	spotify:artist:5MsnoFODDc5nxWrjm99Zew	deep adult standards	False	35.0	Big Man	143.266	spotify:track:0KayDFomB8iDyAdOpKfKTK	http://www.billboard.com/charts/hot-100/1958-08-02	1958-08-02	67	Big ManThe Four Preps	1		67	1	1958
7	Bay City Rollers	48.0	Bay City Rollers	spotify:artist:3r9TXuXfOUxXjgYgAR0fP8	bubblegum pop	False	48.0	Saturday Night	174.4	spotify:track:78zYiMv9yNTHgmm6kaUPCm	http://www.billboard.com/charts/hot-100/1975-10-11	1975-10-11	85	Saturday NightBay City Rollers	1		85	1	1975
10	Cyndi Lauper	71.0	Cyndi Lauper	spotify:artist:2BTZIqw0ntH9MvilQ3ewNY	new wave pop	False	53.0	She Bop	229.266	spotify:track:2FAL6hxj5Qxuj0kWOkEOsF	http://www.billboard.com/charts/hot-100/1984-07-21	1984-07-21	52	She BopCyndi Lauper	1		52	1	1984
16	Troop	43.0	Troop	spotify:artist:5r7mGejWrGSxheAYEIfSwI	boy band	False	9.0	Whatever It Takes (To Make You Stay)	319.533	spotify:track:7ypmnQBUevzJdnlUSmdndC	http://www.billboard.com/charts/hot-100/1992-06-20	1992-06-20	65	Whatever It Takes (To Make You Stay)Troop	1		65	1	1992
18	Hi-Five	45.0	Hi-Five	spotify:artist:0EVUivUkugMtNF09L4QBMH	boy band	False	39.0	I Can't Wait Another Minute	301.64	spotify:track:1CeGBbkJeKPojRmlo2gIwq	http://www.billboard.com/charts/hot-100/1991-06-22	1991-06-22	77	I Can't Wait Another MinuteHi-Five	1		77	1	1991
21	Shanice	48.0	Shanice	spotify:artist:0Ttph0pOZiPNTD3y2wUUb6	contemporary r&b	False	61.0	I Love Your Smile	257.973	spotify:track:69mFxANpGyq9s69LqH3d9G	http://www.billboard.com/charts/hot-100/1991-11-23	1991-11-23	93	I Love Your SmileShanice	1		93	1	1991
24	Cream	71.0	creamy	spotify:artist:2uSVRVjYZ0PlJPdFHnBETu	lo-fi chill	False	71.0	Sunshine Of Your Love	250.4	spotify:track:2K2M0TcglCRLLpFOzKeFZA	http://www.billboard.com/charts/hot-100/1968-01-13	1968-01-13	74	Sunshine Of Your LoveCream	1		74	1	1968
28	Martha Reeves & The Vandellas	58.0	Martha Reeves & The Vandellas	spotify:artist:1Pe5hlKMCTULjosqZ6KanP	classic girl group	False	20.0	Honey Chile	177.973	spotify:track:3YGuismm9qnCaEfUkD8uQA	http://www.billboard.com/charts/hot-100/1967-11-18	1967-11-18	65	Honey ChileMartha Reeves & The Vandellas	1		65	1	1967
30	Curtis Mayfield	60.0	Curtis Mayfield	spotify:artist:2AV6XDIs32ofIJhkkDevjm	chicago soul	False	29.0	Get Down	348.333	spotify:track:7aZGReAQ235D3r9iiao5U5	http://www.billboard.com/charts/hot-100/1971-11-13	1971-11-13	98	Get DownCurtis Mayfield	1		98	1	1971
34	Ocean	85.0	Frank Ocean	spotify:artist:2h93pZq0e7k5yf4dywlkpM	hip hop	False	1.0	One More Chance	197.333	spotify:track:1G1GrHWPRWjmDV36J1BQE1	http://www.billboard.com/charts/hot-100/1972-09-23	1972-09-23	88	One More ChanceOcean	1		88	1	1972
35	The Newcomers	20.0	The Newcomers	spotify:artist:2wjWgyrpWbWmd077lMg04d	classic soul	False	2.0	Pin The Tail On The Donkey	177.32	spotify:track:4a7VTOY4F3GBkQMD11PTus	http://www.billboard.com/charts/hot-100/1971-09-11	1971-09-11	87	Pin The Tail On The DonkeyThe Newcomers	1		87	1	1971
36	Les Crane	16.0	Les Crane	spotify:artist:0nH8Oa5lL0hHMKQpOqujVq		False	30.0	Desiderata	278.96	spotify:track:5V6wfV3Mkvd30zpSoKjsOh	http://www.billboard.com/charts/hot-100/1971-10-09	1971-10-09	87	DesiderataLes Crane	1		87	1	1971
37	Fanny	60.0	Fanny Lu	spotify:artist:6GRC8segVAr34gm6pjfSoQ	colombian pop	False	16.0	Butter Boy	206.253	spotify:track:40IuvnynqaBdmmR0o0JOqm	http://www.billboard.com/charts/hot-100/1975-02-01	1975-02-01	89	Butter BoyFanny	1		89	1	1975
38	The New Seekers	46.0	The New Seekers	spotify:artist:4jrTNltJtTMUfXybDdsHDn	adult standards	False	43.0	Beg, Steal Or Borrow	167.333	spotify:track:5qyE3nSkh3KRfLzISfXYDc	http://www.billboard.com/charts/hot-100/1972-04-22	1972-04-22	88	Beg, Steal Or BorrowThe New Seekers	1		88	1	1972
40	Loggins & Messina	53.0	Loggins & Messina	spotify:artist:7emRV8AluG3d4e5T0DZiK9	album rock	False	40.0	Thinking Of You	138.773	spotify:track:6aNNkAJPuE5dY3fcCalNMz	http://www.billboard.com/charts/hot-100/1973-03-31	1973-03-31	79	Thinking Of YouLoggins & Messina	1		79	1	1973
44	Elvin Bishop	50.0	Elvin Bishop	spotify:artist:2G1yVp387GlUf9yvLk6V11	blues rock	False	32.0	Sure Feels Good	167.8	spotify:track:4dNJLLbjNCpwuveBHha2dF	http://www.billboard.com/charts/hot-100/1975-06-28	1975-06-28	87	Sure Feels GoodElvin Bishop	1		87	1	1975
47	The Manhattan Transfer	50.0	The Manhattan Transfer	spotify:artist:2dogRElUKV20C2khRHqjRc	a cappella	False	33.0	Operator	192.533	spotify:track:4kHKI0onmVMAFyfOCbYCEi	http://www.billboard.com/charts/hot-100/1975-09-20	1975-09-20	87	OperatorThe Manhattan Transfer	1		87	1	1975
51	Michael Franks	49.0	Michael Franks	spotify:artist:0AVE7rDx4X9w0pW1XlN1om	smooth jazz	False	37.0	Popsicle Toes	276.4	spotify:track:2gLzBIXTrphTRCZoSRpKZJ	http://www.billboard.com/charts/hot-100/1976-08-07	1976-08-07	87	Popsicle ToesMichael Franks	1		87	1	1976
