0,1,2,3,4,5
False,17.0,Edwin Starr,Contact - Extended Mix,437600.0,spotify:track:4yhqY0uTj98Tjm3NZrquTz
False,25.0,Lipps Inc.,Rock It,341426.0,spotify:track:05370ru5yCdoZ5uOMqfH0D
False,20.0,Martha and the Muffins,Black Stations / White Stations,312026.0,spotify:track:6m88CdvbaNrCR10JXOW5JQ
False,37.0,Warren Zevon,A Certain Girl,188200.0,spotify:track:24tc3OZ7YRdtQofd23niCE
False,44.0,Dr. Hook,All The Time In The World,155573.0,spotify:track:6oQvfVYa0XTuYlvgirfuey
,,,,,
,,,,,
False,7.0,The Fools,Running Scared,146400.0,spotify:track:6Eh3AeywAyfaYbsDgt5Zsn
,,,,,
False,52.0,Stevie Wonder,Ribbon In The Sky,337066.0,spotify:track:1Y5B1vvFDia8MtyM16UgnN
,,,,,
False,5.0,Glass Moon,On a Carousel,200000.0,spotify:track:0HqFLSXWRpQGEF0KYKFInX
False,21.0,Leo Sayer,Raining in My Heart,192493.0,spotify:track:3BNZqcKefd2AfMdfojlQSf
,,,,,
False,63.0,Selena Gomez,Rare,220589.0,spotify:track:7HMmFQsKsljwTw8bS7lu19
,,,,,
False,8.0,New York City,"Quick, Fast, In a Hurry",153373.0,spotify:track:2c86XvDCjcwu1odR0EocQz
False,6.0,The O'Jays,Baby You Know,281573.0,spotify:track:3h66kAaZiXZk5RyU9PDsQ8
False,11.0,Fool's Gold,"Rain, Oh, Rain",282386.0,spotify:track:0JHKa7kPtfEiSw7zXKVuSz
False,33.0,Cheryl Lynn,Shake It Up Tonight,341720.0,spotify:track:6wmhsZbh12vbawlva6Ek5y
False,3.0,To Be Continued,Twenty Five Twenty One,203002.0,spotify:track:16kf9oGTzcr5ld2wzgDSRk
False,42.0,"Earth, Wind & Fire",And Love Goes On,244786.0,spotify:track:4fLyo0TfSm6eZuYpK33Wye
False,41.0,Smokey Robinson,Quiet Storm,468653.0,spotify:track:1JhpdM2PtIsKC0lrBTPSAK
False,32.0,Jerrod Niemann,Shinin' On Me,194573.0,spotify:track:56hUUEbFVeJXCmbdPfsy1T
True,49.0,The Prodigy,Smack My Bitch Up,343386.0,spotify:track:2iwGE4y7yF8qzKc5WZ2Z8R
False,22.0,Mary Chapin Carpenter,Almost Home,277066.0,spotify:track:2b3N8Hr0VqxfcOyjSIGUHk
False,52.0,Alicia Keys,Superwoman,274106.0,spotify:track:694V3efHIeLmVRZIDMGc4O
False,17.0,Johnny Horton,Sal's Got A Sugar Lip,117800.0,spotify:track:2pjKNlnd8fKUcnoaomauIv
True,16.0,Tone-Loc,All Through The Night,295066.0,spotify:track:5XlgIjaIwqD5q5dVjdVo9V
False,22.0,Bananarama,A Trick of the Night,278175.0,spotify:track:5uDWIr8Nr8uSgDlPX3XfeY
False,39.0,SHeDAISY,Come Home Soon,242053.0,spotify:track:5q8WL51d8vXvGSwDdfzgJ0
,,,,,
,,,,,
,,,,,
,,,,,
False,10.0,Adina Howard,(Freak) And U Know It,314600.0,spotify:track:230l1uqTyGIOHycwn5b8r1
,,,,,
False,23.0,John Cafferty & the Beaver Brown Band,Pride & Passion,210133.0,spotify:track:3Qh01z2TD1B8RTyQ2s9Obp
False,24.0,Jessica Simpson,Come on Over,171413.0,spotify:track:4Z4HrH47UW6Vc4s76hAsSL
False,31.0,Asia,Days Like These,244626.0,spotify:track:7fc4ZrV4Jqeg2UD0xBu2BR
False,7.0,Roxanne,Play That Funky Music,207453.0,spotify:track:7iYRJw4gh7e8YjTHb2DZOb
,,,,,
,,,,,
,,,,,
False,8.0,Gloria Estefan,Seal Our Fate,263360.0,spotify:track:3jxGqPwrXy91KSVP0qAida
,,,,,
,,,,,
True,24.0,LIL LO,Damn Tana,121855.0,spotify:track:0BKlETtyw17Zz0d76Yfxs3
False,3.0,Intonation Featuring Joee,Died In Your Arms,281026.0,spotify:track:0LfbaFlASS0hNXK9cv7RqM
,,,,,
False,34.0,Joe Diffie,So Help Me Girl,212093.0,spotify:track:1oJvv6D3TYxJDlVTrtJU7b
False,2.0,Jimmy Ryser,Same Old Look,252813.0,spotify:track:7Kr1yAXJKg7uYp95R92GVf
,,,,,
False,15.0,Michael Martin Murphey,Still Taking Chances,251866.0,spotify:track:3XVci0pO6NP7qdz2dP69Ed
False,5.0,"Evelyn ""Champagne"" King",Action,205280.0,spotify:track:49Bmd2nBKlQh5fuBE6Z4J5
,,,,,
,,,,,
False,67.0,Rusted Root,Send Me On My Way,263360.0,spotify:track:6XK6Zw6JkFsHXzAcMWNiIr
False,15.0,Rickie Lee Jones,A Lucky Guy,249613.0,spotify:track:0EaXP0e4iMKkivvSeZ7ZfC
,,,,,
False,39.0,Howard Hewett,Show Me,338120.0,spotify:track:3yzNUDVcATvQUqqgnykHXB
False,22.0,Captain & Tennille,Come In From The Rain,278146.0,spotify:track:0jNFmyoVCCIbiCJaK8tEuJ
