Explicit,Artist_Popularity,Performer,Song,Duration s,uri,url,WeekID,Week Position,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Year
False,30.0,Jody Reynolds,Endless Sleep,143.68,spotify:track:7cb19X9Bavre8c1kUR1cGH,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,17,Endless SleepJody Reynolds,1,,17,1,1958
False,37.0,Jimmie Rodgers,Are You Really Mine,148.533,spotify:track:2oPz7fWUmfeNG00NVf5uNa,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,93,Are You Really MineJimmie Rodgers,1,,93,1,1958
False,45.0,Sheb Wooley,The Purple People Eater,137.96,spotify:track:0WkZQPNC0c7yrsMX1arVAd,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,24,The Purple People EaterSheb Wooley,1,,24,1,1958
False,8.0,Paul Anka,Midnight,118.56,spotify:track:1PIAfN66ryCymC2kSZKdsr,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,76,MidnightPaul Anka,1,,76,1,1958
False,63.0,Eddie Cochran,Summertime Blues,119.36,spotify:track:3oAWTk92mZBxKBOKf8mR5v,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,84,Summertime BluesEddie Cochran,1,,84,1,1958
False,38.0,The Slades,You Cheated,151.466,spotify:track:50CLZLkm59v42gLU6eXDQC,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,42,You CheatedThe Slades,1,,42,1,1958
False,35.0,The Four Preps,Big Man,143.266,spotify:track:0KayDFomB8iDyAdOpKfKTK,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,67,Big ManThe Four Preps,1,,67,1,1958
False,31.0,Ed Townsend,For Your Love,173.266,spotify:track:34hXWNZyKgsR7zmMOfXqOK,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,62,For Your LoveEd Townsend,1,,62,1,1958
False,17.0,Jack Scott,Leroy,129.106,spotify:track:6sRA34zt9Q66iaw7q5ydwl,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,56,LeroyJack Scott,1,,56,1,1958
False,27.0,Jack Scott,My True Love,165.026,spotify:track:2Un1O9CChp4wyTmt422XwW,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,8,My True LoveJack Scott,1,,8,1,1958
False,40.0,Kalin Twins,When,146.573,spotify:track:3HZJ9BLBpDya4p71VfXSWp,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,5,WhenKalin Twins,1,,5,1,1958
False,4.0,Perry Como,Moon Talk,156.506,spotify:track:5bsxk24HJ6PdVq32I7d1m1,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,37,Moon TalkPerry Como,1,,37,1,1958
False,26.0,Buddy Holly,Early In The Morning,126.04,spotify:track:3kKDCw2O8pmEQzhocdkelU,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,41,Early In The MorningBuddy Holly,1,,41,1,1958
False,21.0,The Olympics,Western Movies,140.504,spotify:track:398Q0gLfmsjJ5GFx9W2q5Y,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,23,Western MoviesThe Olympics,1,,23,1,1958
False,28.0,Chuck Willis,What Am I Living For,146.8,spotify:track:6eIEXINZt8rtgqEtOxP9ur,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,25,What Am I Living ForChuck Willis,1,,25,1,1958
False,62.0,Peggy Lee,Fever,199.6,spotify:track:3aPlQWU07jGgyHaBHVS5TS,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,10,FeverPeggy Lee,1,,10,1,1958
False,15.0,Frankie Avalon,Ginger Bread,125.152,spotify:track:70FdlOx7tulYnp2IkS6qQw,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,11,Ginger BreadFrankie Avalon,1,,11,1,1958
False,6.0,Tony Bennett,Young And Warm And Wonderful,156.933,spotify:track:4j80rvP2WPxSUAEQVEa7BK,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,59,Young And Warm And WonderfulTony Bennett,1,,59,1,1958
False,52.0,Jackie Wilson,To Be Loved,154.173,spotify:track:0CAzT38ct3vgDW3p6yIzUe,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,86,To Be LovedJackie Wilson,1,,86,1,1958
False,5.0,Clyde McPhatter,Come What May,101.946,spotify:track:4UgiNlKI2BrCmMhGnrYFze,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,43,Come What MayClyde McPhatter,1,,43,1,1958
False,45.0,The Danleers,One Summer Night,133.226,spotify:track:5GEsOz5Pbln0j2RcmBGLa4,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,16,One Summer NightThe Danleers,1,,16,1,1958
False,30.0,Bobby Freeman,Do You Want To Dance,165.693,spotify:track:4wXPZBafMKbTtdOB7BVGcp,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,20,Do You Want To DanceBobby Freeman,1,,20,1,1958
False,75.0,Chuck Berry,Johnny B. Goode,161.56,spotify:track:2QfiRTz5Yc8DdShCxG1tB2,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,80,Johnny B. GoodeChuck Berry,1,,80,1,1958
False,3.0,Bobby Hendricks,Itchy Twitchy Feeling,149.24,spotify:track:17J82pDh7nMzPN0xlhRXJu,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,61,Itchy Twitchy FeelingBobby Hendricks,1,,61,1,1958
False,0.0,Frankie Vaughan,Judy,124.017,spotify:track:2mCOoTvyuFPBCUEkrviJUu,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,100,JudyFrankie Vaughan,1,,100,1,1958
False,29.0,Sam Cooke,Win Your Love For Me,167.773,spotify:track:7jwPDFG5HxM5G1Q5Mmw855,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,74,Win Your Love For MeSam Cooke,1,,74,1,1958
False,44.0,The Everly Brothers,Bird Dog,136.426,spotify:track:2ZCkqAo0tzzCVOth7ityh5,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,92,Bird DogThe Everly Brothers,1,,92,1,1958
False,22.0,The Johnny Otis Show,Willie And The Hand Jive,154.733,spotify:track:4ToAe9XCKjFGin2Qfswwis,http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,9,Willie And The Hand JiveThe Johnny Otis Show,1,,9,1,1958
