duration_ms,explicit,name,Performer,genre,popularity,uri,weeks_on_chart,release_year
186813,FALSE,Radioactive,Imagine Dragons,Rock,74,spotify:track:4G8gkOterJn0Ywt6uhqbhp,87,2012
259093,FALSE,Sail,AWOLNATION,Alternative,75,spotify:track:7ueP5u2qkdZbIPN2YA6LR0,79,2010
242946,FALSE,I'm Yours,Jason Mraz,Pop,81,spotify:track:1EzrEOXmMH3G43AXT1y7pA,76,2008
200040,FALSE,Blinding Lights,The Weeknd,Pop,93,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,76,2019
266973,FALSE,How Do I Live,LeAnn Rimes,Pop,70,spotify:track:7BD50ATrF3Vab5FQy7vtK8,69,1997
262173,FALSE,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,EDM,70,spotify:track:0IkKz2J93C94Ei4BvDop7P,68,2011
265500,FALSE,Counting Stars,OneRepublic,Pop,1,spotify:track:4fPfuMM1aEVH5gAW75A2YF,68,2013
265500,FALSE,Foolish Games,Jewel,Pop,1,spotify:track:4fPfuMM1aEVH5gAW75A2YF,65,1997
228093,TRUE,Rolling in the Deep,Adele,R & B ,81,spotify:track:1c8gk2PeTE04A1pIDH9YMk,65,2010
199946,FALSE,Before He Cheats,Carrie Underwood,Country,80,spotify:track:0ZUo4YjG4saFnEJhdWp9Bt,64,2006
210772,FALSE,I Hope,Gabby Barrett Featuring Charlie Puth,Country,75,spotify:track:23T0OX7QOiIUFShSzbJ5Uo,62,2019
163133,FALSE,Ho Hey,The Lumineers,Alternative,76,spotify:track:0W4Kpfp1w2xkY3PrV714B7,62,2012
195493,FALSE,You And Me,Lifehouse,Rock,76,spotify:track:0815caqt2Lytro5EIzMufT,62,2004
215280,FALSE,Circles,Post Malone,Pop,87,spotify:track:21jGcNKet2qwijlDFuPiPb,61,2019
175200,FALSE,Demons,Imagine Dragons,Pop,76,spotify:track:3LlAyCYU26dvFZBDUIMb7a,61,2013
249506,FALSE,Macarena,Los Del Rio,Pop,61,spotify:track:4oaj36KzXRgDg4McgcTsZK,60,1993
277573,FALSE,Need You Now,Lady Antebellum,Country,72,spotify:track:11EX5yhxr9Ihl3IN1asrfK,60,2009
244973,FALSE,Somebody That I Used To Know,Gotye Featuring Kimbra,Pop,77,spotify:track:4wCmqSrbyCgxEXROQE6vtV,59,2011
269560,FALSE,All of Me,John Legend,Pop,87,spotify:track:3U4isOIWM3VvDubwSI3y7a,59,2013
233712,FALSE,Shape of You,Ed Sheeran,Pop,88,spotify:track:7qiZfU4dY1lWllzX7mPBI3,58,2017
294986,FALSE,Smooth (feat. Rob Thomas),Santana Featuring Rob Thomas,Alternative,70,spotify:track:0n2SEXB2qoRQg171q7XqeW,58,1999
281560,FALSE,Thinking out Loud,Ed Sheeran,Pop,84,spotify:track:34gCuhDGsG4bRPIf9bb02f,58,2014
262533,FALSE,How to Save a Life,The Fray,Pop,81,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,58,2006
316733,FALSE,Higher,Creed,Alternative,72,spotify:track:1ZozJfi8u9cO2Ob8KwiwNT,57,1999
