Song,Performer,0,genre
Radioactive,Imagine Dragons,87,Rock
Sail,AWOLNATION,79,Alternative
I'm Yours,Jason Mraz,76,Pop
Blinding Lights,The Weeknd,76,Pop
How Do I Live,LeAnn Rimes,69,Pop
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,68,EDM
Counting Stars,OneRepublic,68,Pop
Foolish Games/You Were Meant For Me,Jewel,65,Pop
Rolling In The Deep,Adele,65,R & B 
Before He Cheats,Carrie Underwood,64,Country
I Hope,Gabby Barrett Featuring Charlie Puth,62,Country
Ho Hey,The Lumineers,62,Alternative
You And Me,Lifehouse,62,Rock
Circles,Post Malone,61,Pop
Demons,Imagine Dragons,61,Pop
Macarena (Bayside Boys Mix),Los Del Rio,60,Pop
Need You Now,Lady Antebellum,60,Country
Somebody That I Used To Know,Gotye Featuring Kimbra,59,Pop
All Of Me,John Legend,59,Pop
Shape Of You,Ed Sheeran,58,Pop
Smooth,Santana Featuring Rob Thomas,58,Alternative
Thinking Out Loud,Ed Sheeran,58,Pop
How To Save A Life,The Fray,58,Pop
Higher,Creed,57,Alternative
Dark Horse,Katy Perry Featuring Juicy J,57,Pop
Use Somebody,Kings Of Leon,57,Alternative
Lights,Ellie Goulding,57,Pop
Unchained Melody,The Righteous Brothers,57,Soul
Uptown Funk!,Mark Ronson Featuring Bruno Mars,56,Pop
The Way You Love Me,Faith Hill,56,Country
I Don't Want To Wait,Paula Cole,56,Pop
Some Nights,fun.,56,Alternative
I Gotta Feeling,The Black Eyed Peas,56,Pop
Perfect,Ed Sheeran,56,Pop
Missing,Everything But The Girl,55,Dance
Amazed,Lonestar,55,Country
Barely Breathing,Duncan Sheik,55,Pop
Cruise,Florida Georgia Line Featuring Nelly,54,Country
Wake Me Up!,Avicii,54,Dance
Stay With Me,Sam Smith,54,Pop
"Hey, Soul Sister",Train,54,Pop
Unwell,matchbox twenty,54,Alternative
Hanging By A Moment,Lifehouse,54,Alternative
Someone You Loved,Lewis Capaldi,54,Pop
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,53,Pop
Pompeii,Bastille,53,Alternative
Breathe,Faith Hill,53,Country
Kryptonite,3 Doors Down,53,Alternative
If I Die Young,The Band Perry,53,Country
Shut Up And Dance,WALK THE MOON,53,Pop
Too Close,Next,53,R & B 
Drops Of Jupiter (Tell Me),Train,53,Pop
Don't Let Me Down,The Chainsmokers Featuring Daya,52,Pop
Sicko Mode,Travis Scott,52,Hip Hop
Go Crazy,Chris Brown & Young Thug,52,R & B 
Don't Start Now,Dua Lipa,52,Pop
Happier,Marshmello & Bastille,52,Pop
Without Me,Halsey,52,Pop
Say You Won't Let Go,James Arthur,52,Pop
Closer,The Chainsmokers Featuring Halsey,52,Pop
Better Now,Post Malone,52,Pop
Can't Stop The Feeling!,Justin Timberlake,52,Pop
Stressed Out,twenty one pilots,52,Alternative
Truly Madly Deeply,Savage Garden,52,Pop
Girls Like You,Maroon 5 Featuring Cardi B,52,Pop
Before You Go,Lewis Capaldi,52,Pop
Stitches,Shawn Mendes,52,Pop
Trap Queen,Fetty Wap,52,Hip Hop
See You Again,Wiz Khalifa Featuring Charlie Puth,52,Hip Hop
How's It Going To Be,Third Eye Blind,52,Alternative
Cheap Thrills,Sia Featuring Sean Paul,52,Pop
The Bones,Maren Morris,52,Pop
High Hopes,Panic! At The Disco,52,Pop
Here Without You,3 Doors Down,51,Alternative
Love Lies,Khalid & Normani,51,R & B 
Meant To Be,Bebe Rexha & Florida Georgia Line,51,Country
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,51,Regaeton
Viva La Vida,Coldplay,51,Pop
Watch Me,Silento,51,Hip Hop
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",51,Hip Hop
Thunder,Imagine Dragons,51,Rock
Believer,Imagine Dragons,51,Rock
That's What I Like,Bruno Mars,51,Pop
I Like It,"Cardi B, Bad Bunny & J Balvin",51,Hip Hop
What Hurts The Most,Rascal Flatts,51,Country
You Belong With Me,Taylor Swift,50,Pop
Call Me Maybe,Carly Rae Jepsen,50,Pop
Congratulations,Post Malone Featuring Quavo,50,Pop
Someday,Nickelback,50,Rock
Tequila,Dan + Shay,50,Country
Shake It Off,Taylor Swift,50,Pop
Adore You,Harry Styles,50,Pop
Paralyzer,Finger Eleven,50,Alternative
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,49,Pop
Run-Around,Blues Traveler,49,Alternative
How You Remind Me,Nickelback,49,Rock
Bad Guy,Billie Eilish,49,Pop
Love Story,Taylor Swift,49,Pop
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,49,Hip Hop
Just Dance,Lady Gaga Featuring Colby O'Donis,49,Pop
