0,1,2,3,4
Bryce Vine,66.0,Bryce Vine,spotify:artist:1ShZZUjkbXCjhwrb18BA8I,"['electropop', 'pop', 'pop rap']"
Calboy,59.0,Calboy,spotify:artist:0HkcYmcjrBR3SCw9Ld5VZk,"['chicago rap', 'melodic rap', 'pop rap', 'rap', 'trap', 'vapor trap']"
,,,,
blackbear,80.0,blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM,"['pop', 'pop rap']"
,,,,
,,,,
,,,,
Donnie Owens,2.0,Donnie Owens,spotify:artist:5a1p9HEb8mrwIwBgidOlCu,[]
,,,,
,,,,
Don French,19.0,I Don't Speak French,spotify:artist:6w3WTHXhYnXWRPLal2dsjY,['swedish indie rock']
,,,,
David Hill,42.0,David Hill,spotify:artist:4Qq5rJ5mqO9DIXo2OPBWG8,['orchestral performance']
Wade Flemons,7.0,Wade Flemons,spotify:artist:4dUwbgj6jgmsBTRxVuCLEP,['deep northern soul']
,,,,
,,,,
,,,,
The Capris,33.0,The Capris,spotify:artist:42SCX0E1m3YSaY2l3zHVJ4,"['doo-wop', 'rhythm and blues']"
Tommy Boyce,27.0,Tommy Boyce,spotify:artist:6V92xGMFMr4619y6ZvEUFR,['bubblegum pop']
Don & Juan,25.0,Don & Juan,spotify:artist:7gArjmSS1gJuofpu4vHtCI,['doo-wop']
The Rooftop Singers,28.0,The Rooftop Singers,spotify:artist:6Gb08eT3LlkGynDscl9vbz,['american folk revival']
Soul Sisters,19.0,The Soul Sisters,spotify:artist:4vHGlaYbIEkXVVnWZodTXl,[]
The Butterflys,2.0,The Butterflys,spotify:artist:5hjwrlBDPfxgMTeH0WzfLO,[]
Radiants,22.0,The Radiants,spotify:artist:2aB94xAF1yUDTGLTIdkw7I,"['chicago soul', 'classic soul']"
Bud Shank,34.0,Bud Shank,spotify:artist:2UuKUaomk3bZ0nHM3Y3FdW,"['bebop', 'hard bop', 'jazz saxophone']"
,,,,
Anthony & The Imperials,45.0,Little Anthony & The Imperials,spotify:artist:3PF1KBeHYb14yKgsiE693V,"['classic soul', 'doo-wop', 'rhythm and blues', 'rock-and-roll']"
,,,,
Small Faces,48.0,Small Faces,spotify:artist:1YqGsKpdixxSVgpfaL2AEQ,"['art rock', 'blues rock', 'british blues', 'british invasion', 'classic rock', 'classic uk pop', 'folk rock', 'freakbeat', 'merseybeat', 'protopunk', 'psychedelic rock', 'pub rock', 'rock']"
,,,,
Wes Montgomery,53.0,Wes Montgomery,spotify:artist:03YhcM6fxypfwckPCQV8pQ,"['hard bop', 'jazz', 'jazz fusion', 'jazz guitar']"
Barry Ryan,35.0,Barry Ryan,spotify:artist:5JJxBX97vBHW7KMsBqIJre,"['bubblegum pop', 'classic uk pop', 'merseybeat', 'nederpop']"
,,,,
,,,,
